restaurant_name,name,rating,review
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Rna Faizal,5.0,"(Translated by Google) First time visiting Krabe because invited by family of friends. When you arrive, a seafood menu with spicy sour krabs, shellfish, grilled fish is provided. Hmmmm, really yummi... smart to process the food, you don't feel the fishy smell so you can eat it until it's finished. (Original) Pertama kali berkunjung ke Krabe karena diundang oleh keluarga teman. Saat datang sudah disediakan menu seafood krab asam pedas, kerang, ikan bakar. Hmmmm yummi banget ... pinter yang mengolah makanannya, gak kerasa bau amisnya jadi lahap deh makannya sampai habis."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Novy Yanti,5.0,(Translated by Google) Endesss crab... the grilled fish too.. the beans are delicious too.. it's really good 👍 (Original) Kepitingnyaa endesss... ikan bakarnya jg.. buncisnya jg maknyusss.. manteep dech pokoknyaa👍
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Jeffry Tandanaki,4.0,"(Translated by Google) I used to eat crab here around 3 years ago, want to repeat it again, we ordered the seafood plater, with the description that there were 4 ounces of crab, 4 shrimps etc., it turned out that when it came it got about 3 ounces of crab, and the shrimp were small, hahaha , I thought the prawns were a bit big.. but in the plate there were still green scallops, simping and corn. The taste of the sauce is quite decent, so it eliminates the feeling of disappointment. Great. (Original) Dulu pernah makan kepiting disini sekitarnya 3 tahun yang lalu, ingin mengulangi nya kembali, kita pesan seafood plater, dengan deskripsi ada kepiting sebesar 4 ons, udang 4 ekor dll, ternyata ketika datang dapat kepiting nya sekitar 3 ons, dan udang nya kecil, hahaha, pikir saya udang nya agak besar.. tapi didalam plater tersebut masih ada kerang ijo, simping dan jagung. Rasa sauce nya cukup lumayan deh, jadi menghilangkan rasa kecewa nya. Mantap."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Elisabeth Valencia Setianto,2.0,"(Translated by Google) The price listed in the catalog does not match the time paid. In the catalog, srimping the price 27,000, but I paid so 45,000. Please update and fix it again (Original) Harga yang tertera di katalog tidak sesuai saat yang dibayarkan. Di katalog, srimping harga 27.000, namun saya dibayar jadi 45.000. Mohon di update dan diperbaiki kembali"
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Anita Lee,5.0,(Translated by Google) Never miss it every time you go to Semarang (Original) Ga pernah terlewatkan setiap kali ke semarang🤤
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",erosman surya dhinata,5.0,(Translated by Google) The cooking is good..especially the crab singapore sauce..the loss if you don't try it .. (Original) Masakannya enak..terutama kepiting saos singapore nya..rugi klo tidak mencobanya..
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Who am I,4.0,"(Translated by Google) excellent ,, really delicious ... the people are friendly ... (Original) mantaf,,enak bgt...orangnya ramah2..."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",diana ristanti,3.0,"(Translated by Google) Even though the reservation has been made, the service is still long ... just enter it during fasting like this, provide takjil at least dates or mineral water to cancel the fast because drinking messages also come a long time ... not recommended for bukber (Original) Meski udah reservasi tetep aja pelayanannya lama...masukan saja saat puasa begini sediakan takjil paling tidak kurma atau air mineral utk membatalkan puasa karna pesan minum juga datangnya lamaaaa....not recommended buat bukber"
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",mohamad Nurachsan,4.0,(Translated by Google) The food is pretty good(Original)Lumayan enak sih makanannya
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Achmad Zaenuri,4.0,(Translated by Google) The crab is big. Service is a bit long. 40 minutes for a family package of four. (Original) Kepitingnya memang besar. Pelayanan agak lama. 40 menitan untuk paket family berempat.
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",jamong,4.0,"(Translated by Google) Noisy interior, rather poor food for the price. But the taste is good. (Original) 소란스러운 실내, 가격에 비해 다소 부실한 음식. 그러나 맛은 좋음."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",el agustina,5.0,(Translated by Google) Crab with Padang sauce is very good (Original) Kepiting saus padang is very good
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Risqiana Sugesti,5.0,"(Translated by Google) Really recommend it, just too sweet for me who doesn't really like sweet (Original) Recomen banget pokoknya, cuma terlalu manis aja buat aku yang nggak terlalu suka manis 😉"
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Satrio Budi Dharmawan,3.0,"(Translated by Google) It could have been a 4-star, but it was reduced because of the service that was not so deft. The cooking is good, the price is standard. For a la carte crab menu count is calculated from the market price per ounce. 1 portion of the contents of 1 head about 3.8 - 4.5 ounces. Besides ala carte, there is also a package menu per 4 people (65-69 thousand per person). The difference in this package menu is that crabs are no longer counted in ounces, but have already been included in the price of the package. Price per ounce (01/26/2020) 32.5 thousand. In addition to the crab menu here also provides shrimp, squid, fish and chicken. Krabe is a group with the adjacent Super Penyet. (Original) Seharusnya dapat bintang 4, tapi dikurangi karena pelayanannya yang kurang cekatan. Masakannya enak, harganya standar. Untuk hitungan menu kepiting ala carte dihitung dari harga pasar per ons. 1 porsi isi 1 ekor sekitar 3,8 - 4,5 ons. Selain ala carte juga tersedia menu paketan per 4 orang (per orang dikenai 65-69 ribu). Bedanya di menu paket ini kepitingnya tidak lagi dihitung per ons, tapi sudah masuk ke dalam harga paketnya. Harga per ons (01/26/2020) 32,5 ribu. Selain menu kepiting disini juga menyediakan udang, cumi, ikan dan ayam. Krabe ini satu grup dengan Super Penyet yang bersebelahan."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Fardi Adrian,5.0,"(Translated by Google) All menus are great, clean, spacious, recommended👍 (Original) Semua menunya mantab,tmpt bersih ,luas,recomended👍"
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Arman Asmara,4.0,"(Translated by Google) 09 May 2017 lunch We eat big.......👍👌 The order, black pepper spiced crab and sauce...👍😃 (Original) 09 Mei 2017 makan siang Kita makan besaaaarr.......👍👌 pesannya, kepiting bumbu lada hitam dan saos...👍😃"
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",festi karima,5.0,"(Translated by Google) So far so good, where's there seafood that isn't good? 😁😁 just found out that it turns out to be one management with super management ... just try it immediately. My advice, just order the package, it's cheaper 🤭 (Original) Sejauh ini enak sih, mana ada seafood gak enak? 😁😁 baru tahu ternyata satu manajemen dengan super penyet... sok langsunhmg coba aja. Saranku, pesan yg paketan aja, lebih murah 🤭"
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Nanik Aryanti,5.0,(Translated by Google) So the one with super penyet makes the menu choices diverse ... order the package if you want it to be cheaper and the sauce is also abundant (Original) Jd satu dgn super penyet menjadikan pilihan menu beragam...pesen paket kl pengen lbh murah dan saosnya jg melimpah
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Galaxy Running,4.0,"(Translated by Google) The seafood is pretty good, especially the crab menu. (Original) Seafoodnya cukup enak, terutama menu kepitingnya."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Imam Risoyo,5.0,"(Translated by Google) The crab in the Singapore sauce is really delicious, the grilled shrimp in Padang sauce is also delicious. Fast and friendly service. There is a prayer room and clean bathroom. There is a choice of air-conditioned and non-AC rooms for those who want to enjoy the delicious aroma of burnt smoke. The choice of drinks is also many and delicious. (Original) Kepiting saos singapur enak banget, udang bakar saos padang juga uenakk. Pelayanan cepat dan ramah. Ada mushola dan kamar mandi bersih. Ada pilihan ruangan ber-AC maupun non AC bagi yg ingin menikmati aroma asap bakaran yang nikmat. Pilihan minumannya juga banyak dan nikmat."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",E Sugeng Riyadi,4.0,"(Translated by Google) Quite complete menu. I forgot the name of the dish, if I'm not mistaken, Singapore sauce crab. I like 👍. But unfortunately when I came the weight of crab per fish was between 3 to 6 ounces and that is normal weight. I don't know if there are those who weigh in the jumbo category. Regarding price, I think normal / standard. (Original) Lumayan lengkap menunya. Aku lupa namanya masakannya, kalau nggak salah kepiting saus singapore. Aku suka 👍. Cuma sayangnya pas aku datang berat kepiting per ekor antara 3 sampai 6 ons dan itu adalah berat normal. Entah disitu ada nggak yang beratnya masuk kategori jumbo. Soal harga, kukira normal/ standar."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Jun Ng,2.0,"(Translated by Google) Lack of fans inside or outside the room, also no smoke exhaust circulation, for food okay, but earlier, I ordered the seafood tom yam soup which was mostly mushrooms, only 2 prawns, a little fish too, not satisfying (Original) Kurang Fan didalam atau luar ruangan, Juga tidak Ada sirkulasi pembuangan asap, untuk Makanan okay, tapi tadi order sop Tom yam seafood isinya kebanyakan jamur, udang cuma 2 pcs, ikan juga sedikit, tdk memuaskan"
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",puspita artanti,4.0,(Translated by Google) The crab is delicious ... it's great. Just choose the one with Padang sauce or sweet and sour ... the flavor is good. Yes for a pretty good price ... the calculation is per.gram. one crab is usually above 100 thousand fall 🙈 (Original) Kepitingnya enak ... n mantap . Pilih aja yang saus padang atau asam manis ...bumbunya enak. Ya utk harganya lumayan lahhh... hitungannya per.gram. satu ekor kepiting biasanya diatas 100rb jatuhnya 🙈
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Pungki Arum,5.0,"(Translated by Google) Crab cakes here are very satisfying Crab is really fresh The fish and crab are on the front of the restaurant to prove that the crab is really fresh For taste I give a value of 9 Yesterday when I got there I ordered tomyam soup and crab salted egg It tastes good, everyone The salted egg gave no responsibility For the price of crab is calculated based on its ounce Anyway, recommended to eat here For its wide location, you can also have a meeting Come here guys (Original) Sajian kepiting disini memuaskan banget Crab nya bener bener fresh Ikan dan crab nya dipajang bagian depan resto untuk membuktikan kalo crabnya betul betul fresh Untuk rasa aku beri nilai 9 Kemarin pas kesana aku pesan sup tomyam dan kepiting salted egg Rasanya enak semua Salted egg nya ngasihnya enggak tanggung tanggung Untuk harga kepitingnya dihitung berdasarkan per ons nya Pokoknya recomended bgt makan disini Untuk lokasinya luas .. bisa buat meeting juga Yuk guys kesini"
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Omah Diskusi,5.0,"(Translated by Google) All seafood dishes are satisfying, for one meal full and satisfied, the money is in the right pocket ... Besides, it's impossible every day to eat seafood right? (Original) All masakan sea food memuaskan, untuk sekali makan kenyang dan puas, uang dikantong pas... Lagian gak mungkin tiap hari mau ngeseafood kan?"
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Wirjono Hadiprodjo,5.0,(Translated by Google) The Padang sauce crab is delicious ... (Original) Kepiting saus padangnya enak...
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Dyah Permana,5.0,"(Translated by Google) I like the jumbo crab with Singapore sauce the most ... The best taste ... It's not disappointing, for the jumbo size of 29 thousand per ounce, 27 rb per ounce for regular crab, besides the oyster shells, it's really good ... It doesn't disappoint (Original) Paling seneng sama kepiting jumbo saus singapore.. The best bangeet rasanyaaa... Gak mengecewakan, untuk ukuran jumbo per onsnya 29 rb, untuk kepiting biasa per onsnya 27 rb., selain tu kerang ijonya jugaa enaaak bnget.. Nggak mengecewakan"
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Tomy Abiyasa,5.0,"(Translated by Google) The place is nice, clean ...(Original)Tempatnya bagus, bersih..."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Stephanus Widjaja,5.0,"(Translated by Google) The place is spacious, comfortable and clean. A special seafood menu at a price that is not too expensive. Friendly and fast service. You can order a neighbor's menu, namely Super Penyet without the hassle of billing and other things, making Krabe Jl. Gajah Mada Semarang. Hopefully in the future it will become a better Seafood Restaurant. (Original) Tempat luas, nyaman dan bersih. Menu makanan seafood yang istimewa dengan harga yang tidak terlalu mahal banget. Pelayanan ramah dan cepat. Bisa memesan menu tetangga yaitu Super Penyet tanpa ribet tagihan bill dan lain-lain menjadikan kelebihan Krabe Jl. Gajahmada Semarang. Semoga ke depannya menjadi Resto Seafood yang lebih baik lagi."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",ike sukarna,5.0,"(Translated by Google) Like the cooking, I think titung is expensive for the price of cooked crab. One thousand thousand, stud crabs ... (Original) Suka masakannya, wlo menurut saya thitung mahal utk hrga kepiting masak. Se ekor 120ribuan, kepiting pejantan..."
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",Claudia Kiswiyandini,3.0,"(Translated by Google) Lastly, the portion was very sweet, and the taste was not messy. Maybe it's a coincidence because at that time the last order was the important one, so yes ... even though usually there's never a complaint about the taste of huhu: (Original) Terakhir beli porsinya cimit bgt, dan rasanya gak karuan. Mungkin kebetulan karena waktu itu last order jd masaknya yg penting jadi kali ya.. padahal biasanya gakpernah ada keluhan soal rasa huhu :(("
"Krabe Seafood Kuliner Semarang Kepitingnya Paling Besar, PUAS !",HEI Hei,4.0,"(Translated by Google) Selling crab dishes is located next to Super Penyet Gajahmada Semarang, parking is quite wide, the place is semi-open, good food, Jalan Gajahmada Semarang is in the same direction, and often jams on Saturdays, Sundays, Sundays and holidays. Krabe is located not far from the intersection of five semarang (Original) Jual masakan kepiting letaknya disamping Super Penyet Gajahmada Semarang, parkir cukup luas, tempatnya semi terbuka, makanan enak, jalan gajahmada semarang searah, dan sering macet di sabtu malam minggu, minggu siang dan di hari libur. Letak Krabe tidak jauh dari simpang lima semarang"
